SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
171,25.01.20,,Vietnam,25.01.20 17:00,2,0,0
172,25.01.20,,France,25.01.20 17:00,3,0,0
173,25.01.20,,Australia,25.01.20 17:00,4,0,0
174,25.01.20,,Nepal,25.01.20 17:00,1,0,0
175,25.01.20,,Malaysia,25.01.20 17:00,3,0,0
176,25.01.20,Unknown,China,25.01.20 17:00,0,0,0
177,25.01.20,,Kiribati,25.01.20 17:00,0,0,0
178,26.01.20,Hubei,Mainland China,26.01.20 16:00,1058,52,42
179,26.01.20,Guangdong,Mainland China,26.01.20 16:00,111,0,2
180,26.01.20,Zhejiang,Mainland China,26.01.20 16:00,104,0,1
181,26.01.20,Henan,Mainland China,26.01.20 16:00,83,1,0
182,26.01.20,Chongqing,Mainland China,26.01.20 16:00,75,0,0
183,26.01.20,Hunan,Mainland China,26.01.20 16:00,69,0,0
184,26.01.20,Beijing,Mainland China,26.01.20 16:00,68,0,2
185,26.01.20,Anhui,Mainland China,26.01.20 16:00,60,0,0
186,26.01.20,Shandong,Mainland China,26.01.20 16:00,46,0,0
187,26.01.20,Sichuan,Mainland China,26.01.20 16:00,44,0,0
188,26.01.20,Shanghai,Mainland China,26.01.20 16:00,40,1,1
189,26.01.20,Guangxi,Mainland China,26.01.20 16:00,36,0,0
190,26.01.20,Jiangxi,Mainland China,26.01.20 16:00,36,0,0
191,26.01.20,Fujian,Mainland China,26.01.20 16:00,35,0,0
192,26.01.20,Jiangsu,Mainland China,26.01.20 16:00,33,0,1
193,26.01.20,Hainan,Mainland China,26.01.20 16:00,22,0,0
194,26.01.20,Shaanxi,Mainland China,26.01.20 16:00,22,0,0
195,26.01.20,Liaoning,Mainland China,26.01.20 16:00,21,0,0
196,26.01.20,Yunnan,Mainland China,26.01.20 16:00,16,0,0
197,26.01.20,Heilongjiang,Mainland China,26.01.20 16:00,15,1,0
198,26.01.20,Tianjin,Mainland China,26.01.20 16:00,14,0,0
199,26.01.20,Hebei,Mainland China,26.01.20 16:00,13,1,0
200,26.01.20,Shanxi,Mainland China,26.01.20 16:00,9,0,0
201,26.01.20,Hong Kong,Hong Kong,26.01.20 16:00,8,0,0
202,26.01.20,Inner Mongolia,Mainland China,26.01.20 16:00,7,0,0
203,26.01.20,Gansu,Mainland China,26.01.20 16:00,7,0,0
204,26.01.20,Guizhou,Mainland China,26.01.20 16:00,5,0,0
205,26.01.20,Macau,Macau,26.01.20 16:00,5,0,0
206,26.01.20,Ningxia,Mainland China,26.01.20 16:00,4,0,0
207,26.01.20,Jilin,Mainland China,26.01.20 16:00,4,0,0
208,26.01.20,Taiwan,Taiwan,26.01.20 16:00,4,0,0
209,26.01.20,Xinjiang,Mainland China,26.01.20 16:00,4,0,0
210,26.01.20,Qinghai,Mainland China,26.01.20 16:00,1,0,0
211,26.01.20,Washington,US,26.01.20 16:00,1,0,0
212,26.01.20,Illinois,US,26.01.20 16:00,1,0,0
213,26.01.20,California,US,26.01.20 16:00,2,0,0
214,26.01.20,Arizona,US,26.01.20 16:00,1,0,0
215,26.01.20,,Japan,26.01.20 16:00,4,0,1
216,26.01.20,,Thailand,26.01.20 16:00,8,0,6
217,26.01.20,,South Korea,26.01.20 16:00,3,0,0
218,26.01.20,,Singapore,26.01.20 16:00,4,0,0
219,26.01.20,,Vietnam,26.01.20 16:00,2,0,0
220,26.01.20,,France,26.01.20 16:00,3,0,0
221,26.01.20,,Australia,26.01.20 16:00,4,0,0
222,26.01.20,,Nepal,26.01.20 16:00,1,0,0
223,26.01.20,,Malaysia,26.01.20 16:00,4,0,0
224,26.01.20,Ontario,Canada,26.01.20 16:00,1,0,0
225,26.01.20,Unknown,China,26.01.20 16:00,0,0,0
226,26.01.20,,Kiribati,26.01.20 16:00,0,0,0
227,27.01.20,Hubei,Mainland China,27.01.20 23:59,1423,76,45
228,27.01.20,Guangdong,Mainland China,27.01.20 23:59,151,0,4
229,27.01.20,Zhejiang,Mainland China,27.01.20 23:59,128,0,1
230,27.01.20,Henan,Mainland China,27.01.20 23:59,128,1,0
231,27.01.20,Chongqing,Mainland China,27.01.20 23:59,110,0,0
232,27.01.20,Hunan,Mainland China,27.01.20 23:59,100,0,0
233,27.01.20,Beijing,Mainland China,27.01.20 23:59,80,1,2
234,27.01.20,Shandong,Mainland China,27.01.20 23:59,75,0,0
235,27.01.20,Jiangxi,Mainland China,27.01.20 23:59,72,0,2
236,27.01.20,Anhui,Mainland China,27.01.20 23:59,70,0,0
237,27.01.20,Sichuan,Mainland China,27.01.20 23:59,69,0,0
238,27.01.20,Fujian,Mainland China,27.01.20 23:59,59,0,0
239,27.01.20,Shanghai,Mainland China,27.01.20 23:59,53,1,3
240,27.01.20,Jiangsu,Mainland China,27.01.20 23:59,47,0,1
241,27.01.20,Guangxi,Mainland China,27.01.20 23:59,46,0,0
242,27.01.20,Shaanxi,Mainland China,27.01.20 23:59,35,0,0
243,27.01.20,Hainan,Mainland China,27.01.20 23:59,33,1,0
244,27.01.20,Liaoning,Mainland China,27.01.20 23:59,27,0,0
245,27.01.20,Yunnan,Mainland China,27.01.20 23:59,26,0,0
246,27.01.20,Tianjin,Mainland China,27.01.20 23:59,23,0,0
247,27.01.20,Heilongjiang,Mainland China,27.01.20 23:59,21,1,0
248,27.01.20,Hebei,Mainland China,27.01.20 23:59,18,1,0
249,27.01.20,Gansu,Mainland China,27.01.20 23:59,14,0,0
250,27.01.20,Shanxi,Mainland China,27.01.20 23:59,13,0,0
251,27.01.20,Inner Mongolia,Mainland China,27.01.20 23:59,11,0,0
252,27.01.20,Hong Kong,Hong Kong,27.01.20 23:59,8,0,0
253,27.01.20,Guizhou,Mainland China,27.01.20 23:59,7,0,0
254,27.01.20,Ningxia,Mainland China,27.01.20 23:59,7,0,0
255,27.01.20,Jilin,Mainland China,27.01.20 23:59,6,0,0
256,27.01.20,Macau,Macau,27.01.20 23:59,6,0,0
257,27.01.20,Qinghai,Mainland China,27.01.20 23:59,6,0,0
258,27.01.20,Taiwan,Taiwan,27.01.20 23:59,5,0,0
259,27.01.20,Xinjiang,Mainland China,27.01.20 23:59,5,0,0
260,27.01.20,Washington,US,27.01.20 23:59,1,0,0
261,27.01.20,Illinois,US,27.01.20 23:59,1,0,0
262,27.01.20,California,US,27.01.20 23:59,2,0,0
263,27.01.20,Arizona,US,27.01.20 23:59,1,0,0
264,27.01.20,,Japan,27.01.20 23:59,4,0,1
265,27.01.20,,Thailand,27.01.20 23:59,8,0,6
266,27.01.20,,South Korea,27.01.20 23:59,4,0,0
267,27.01.20,,Singapore,27.01.20 23:59,5,0,0
268,27.01.20,,Vietnam,27.01.20 23:59,2,0,0
269,27.01.20,,France,27.01.20 23:59,3,0,0
270,27.01.20,,Nepal,27.01.20 23:59,1,0,0
271,27.01.20,,Malaysia,27.01.20 23:59,4,0,0
272,27.01.20,Ontario,Canada,27.01.20 23:59,1,0,0
273,27.01.20,,Cambodia,27.01.20 23:59,1,0,0
274,27.01.20,,Sri Lanka,27.01.20 23:59,1,0,0
275,27.01.20,,Ivory Coast,27.01.20 23:59,1,0,0
276,27.01.20,New South Wales,Australia,27.01.20 23:59,4,0,0
277,27.01.20,Victoria,Australia,27.01.20 23:59,1,0,0
278,27.01.20,Unknown,China,27.01.20 23:59,0,0,0
279,27.01.20,,Kiribati,27.01.20 23:59,0,0,0
280,28.01.20,Hubei,Mainland China,28.01.20 23:00,3554,125,80
281,28.01.20,Guangdong,Mainland China,28.01.20 23:00,207,0,4
282,28.01.20,Zhejiang,Mainland China,28.01.20 23:00,173,0,3
283,28.01.20,Henan,Mainland China,28.01.20 23:00,168,1,0
284,28.01.20,Hunan,Mainland China,28.01.20 23:00,143,0,0
285,28.01.20,Chongqing,Mainland China,28.01.20 23:00,132,0,0
286,28.01.20,Jiangxi,Mainland China,28.01.20 23:00,109,0,3
287,28.01.20,Anhui,Mainland China,28.01.20 23:00,106,0,0
288,28.01.20,Shandong,Mainland China,28.01.20 23:00,95,0,0
289,28.01.20,Beijing,Mainland China,28.01.20 23:00,91,1,4
290,28.01.20,Sichuan,Mainland China,28.01.20 23:00,90,0,0
291,28.01.20,Fujian,Mainland China,28.01.20 23:00,80,0,0
292,28.01.20,Jiangsu,Mainland China,28.01.20 23:00,70,0,1
293,28.01.20,Shanghai,Mainland China,28.01.20 23:00,66,1,4
294,28.01.20,Guangxi,Mainland China,28.01.20 23:00,51,0,2
295,28.01.20,Shaanxi,Mainland China,28.01.20 23:00,46,0,0
296,28.01.20,Yunnan,Mainland China,28.01.20 23:00,44,0,0
297,28.01.20,Hainan,Mainland China,28.01.20 23:00,40,1,0
298,28.01.20,Liaoning,Mainland China,28.01.20 23:00,34,0,0
299,28.01.20,Hebei,Mainland China,28.01.20 23:00,33,1,0
300,28.01.20,Heilongjiang,Mainland China,28.01.20 23:00,33,1,0
301,28.01.20,Shanxi,Mainland China,28.01.20 23:00,27,0,0
302,28.01.20,Tianjin,Mainland China,28.01.20 23:00,24,0,0
303,28.01.20,Gansu,Mainland China,28.01.20 23:00,19,0,0
304,28.01.20,Inner Mongolia,Mainland China,28.01.20 23:00,15,0,0
305,28.01.20,Ningxia,Mainland China,28.01.20 23:00,11,0,0
306,28.01.20,Xinjiang,Mainland China,28.01.20 23:00,10,0,0
307,28.01.20,Guizhou,Mainland China,28.01.20 23:00,9,0,0
308,28.01.20,Jilin,Mainland China,28.01.20 23:00,8,0,0
309,28.01.20,Taiwan,Taiwan,28.01.20 23:00,8,0,0
310,28.01.20,Hong Kong,Hong Kong,28.01.20 23:00,8,0,0
311,28.01.20,Macau,Macau,28.01.20 23:00,7,0,0
312,28.01.20,Qinghai,Mainland China,28.01.20 23:00,6,0,0
313,28.01.20,Washington,US,28.01.20 23:00,1,0,0
314,28.01.20,Illinois,US,28.01.20 23:00,1,0,0
315,28.01.20,California,US,28.01.20 23:00,2,0,0
316,28.01.20,Arizona,US,28.01.20 23:00,1,0,0
317,28.01.20,,Japan,28.01.20 23:00,7,0,1
318,28.01.20,,Thailand,28.01.20 23:00,14,0,6
319,28.01.20,,South Korea,28.01.20 23:00,4,0,0
320,28.01.20,,Singapore,28.01.20 23:00,7,0,0
321,28.01.20,,Vietnam,28.01.20 23:00,2,0,0
322,28.01.20,,France,28.01.20 23:00,4,0,0
323,28.01.20,,Nepal,28.01.20 23:00,1,0,0
324,28.01.20,,Malaysia,28.01.20 23:00,4,0,0
325,28.01.20,Ontario,Canada,28.01.20 23:00,1,0,0
326,28.01.20,British Columbia,Canada,28.01.20 23:00,1,0,0
327,28.01.20,,Cambodia,28.01.20 23:00,1,0,0
328,28.01.20,,Sri Lanka,28.01.20 23:00,1,0,0
329,28.01.20,New South Wales,Australia,28.01.20 23:00,4,0,0
330,28.01.20,Victoria,Australia,28.01.20 23:00,1,0,0
331,28.01.20,Bavaria,Germany,28.01.20 23:00,4,0,0
332,28.01.20,Unknown,China,28.01.20 23:00,0,0,0
333,28.01.20,,Kiribati,28.01.20 23:00,0,0,0
334,29.01.20,Hubei,Mainland China,29.01.20 19:30,3554,125,88
335,29.01.20,Zhejiang,Mainland China,29.01.20 19:30,296,0,3
336,29.01.20,Guangdong,Mainland China,29.01.20 19:30,277,0,5
337,29.01.20,Hunan,Mainland China,29.01.20 19:30,221,0,0
338,29.01.20,Henan,Mainland China,29.01.20 19:30,206,2,1
339,29.01.20,Anhui,Mainland China,29.01.20 19:30,152,0,2
340,29.01.20,Chongqing,Mainland China,29.01.20 19:30,147,0,1
341,29.01.20,Shandong,Mainland China,29.01.20 19:30,130,0,1
342,29.01.20,Beijing,Mainland China,29.01.20 19:30,111,1,4
343,29.01.20,Jiangxi,Mainland China,29.01.20 19:30,109,0,3
344,29.01.20,Sichuan,Mainland China,29.01.20 19:30,108,1,1
345,29.01.20,Jiangsu,Mainland China,29.01.20 19:30,99,0,1
346,29.01.20,Shanghai,Mainland China,29.01.20 19:30,96,1,5
347,29.01.20,Fujian,Mainland China,29.01.20 19:30,84,0,0
348,29.01.20,Guangxi,Mainland China,29.01.20 19:30,58,0,2
349,29.01.20,Shaanxi,Mainland China,29.01.20 19:30,56,0,0
350,29.01.20,Yunnan,Mainland China,29.01.20 19:30,55,0,0
351,29.01.20,Hebei,Mainland China,29.01.20 19:30,48,1,0
352,29.01.20,Hainan,Mainland China,29.01.20 19:30,43,1,0
353,29.01.20,Liaoning,Mainland China,29.01.20 19:30,39,0,1
354,29.01.20,Heilongjiang,Mainland China,29.01.20 19:30,38,1,0
355,29.01.20,Tianjin,Mainland China,29.01.20 19:30,27,0,0
356,29.01.20,Shanxi,Mainland China,29.01.20 19:30,27,0,1
357,29.01.20,Gansu,Mainland China,29.01.20 19:30,24,0,0
358,29.01.20,Inner Mongolia,Mainland China,29.01.20 19:30,16,0,0
359,29.01.20,Xinjiang,Mainland China,29.01.20 19:30,13,0,0
360,29.01.20,Ningxia,Mainland China,29.01.20 19:30,12,0,0
361,29.01.20,Hong Kong,Hong Kong,29.01.20 19:30,10,0,0
362,29.01.20,Guizhou,Mainland China,29.01.20 19:30,9,0,1
363,29.01.20,Jilin,Mainland China,29.01.20 19:30,9,0,0
364,29.01.20,Taiwan,Taiwan,29.01.20 19:30,8,0,0
365,29.01.20,Macau,Macau,29.01.20 19:30,7,0,0
366,29.01.20,Qinghai,Mainland China,29.01.20 19:30,6,0,0
367,29.01.20,Washington,US,29.01.20 19:30,1,0,0
368,29.01.20,Illinois,US,29.01.20 19:30,1,0,0
